ms_zoning,lot_area,land_contour,land_slope,neighborhood,condition_1,bldg_type,house_style,year_built,year_remod_add,mas_vnr_type,garage_area,wood_deck_sf,open_porch_sf,kitchen_qual,bedroom_abvgr,sale_type,saleprice,qual_cond,exter_qual_cond,bsmt_qual_cond,fireplaces_weighted,sq_ft,bsmt_weighted_sf,bath
RL,11578,Lvl,Gtl,NridgHt,Norm,1Fam,1Story,2008,2008,Stone,834.0,319,90,5,3,WD ,360000,45,15,15,4,1736,868.0,2.0
RL,7018,Bnk,Gtl,SawyerW,Norm,Duplex,1Story,1979,1979,None,400.0,0,0,3,4,WD ,118858,25,9,0,0,1535,0.0,2.0
RL,9130,Lvl,Gtl,NWAmes,Feedr,1Fam,2Story,1966,2000,BrkFace,484.0,0,40,4,4,WD ,173000,48,9,9,0,1632,568.0,1.5
RL,10800,Lvl,Gtl,OldTown,Norm,1Fam,1Story,1890,1998,None,320.0,0,30,3,1,WD ,78500,15,9,9,0,725,315.0,1.5
RL,8244,Lvl,Gtl,Gilbert,Norm,1Fam,2Story,2004,2004,None,440.0,100,48,4,3,WD ,183500,35,12,12,4,1720,420.0,2.5
RM,6000,Bnk,Mod,OldTown,Norm,2fmCon,1Story,1953,1953,None,576.0,0,32,3,2,WD ,93000,16,6,6,0,936,468.0,1.0
RL,3621,Lvl,Gtl,Blmngtn,Norm,TwnhsE,1Story,2003,2003,BrkFace,630.0,143,20,4,2,WD ,226500,40,12,12,3,1589,1245.0,2.0
RL,7837,Lvl,Gtl,Gilbert,Norm,1Fam,2Story,1993,1994,None,380.0,0,40,3,3,WD ,178000,42,12,12,3,1571,399.5,2.5
RL,10665,Lvl,Gtl,CollgCr,Norm,1Fam,1Story,2003,2003,BrkFace,558.0,144,29,4,3,WD ,226000,35,12,12,0,1479,1233.0,2.0
RL,10457,Lvl,Mod,Mitchel,Norm,1Fam,2Story,1969,1969,BrkFace,898.0,0,173,3,4,WD ,173000,35,20,9,3,1632,496.0,1.5
RL,8281,Lvl,Gtl,Sawyer,Norm,1Fam,1Story,1965,1965,None,360.0,0,0,3,3,WD ,62383,25,9,9,1,864,553.0,1.0
RL,14948,Lvl,Gtl,NridgHt,Norm,1Fam,2Story,2008,2008,Stone,858.0,126,66,5,3,New,446261,45,15,15,4,2713,1391.0,2.5
RL,7000,Lvl,Gtl,SWISU,Feedr,1Fam,2Story,1926,1997,None,312.0,530,0,4,3,WD ,160000,56,9,9,8,1479,524.0,1.0
RM,3940,Lvl,Gtl,Blmngtn,Norm,TwnhsE,1Story,2004,2004,BrkFace,668.0,143,20,4,2,WD ,219990,35,12,12,3,1576,1240.0,2.0
RL,9382,Lvl,Gtl,CollgCr,Norm,1Fam,1Story,1999,2000,BrkFace,577.0,120,25,4,3,WD ,191000,35,12,12,0,1479,734.0,2.0
RL,6854,Bnk,Mod,BrkSide,Norm,1Fam,1Story,1925,1994,None,308.0,0,65,3,1,WD ,136500,35,12,9,4,1060,423.0,1.0
RL,11515,Lvl,Gtl,Edwards,Norm,1Fam,1Story,1958,1994,None,308.0,0,0,4,3,WD ,80000,20,9,0,0,943,0.0,1.0
RL,13837,Lvl,Gtl,NWAmes,Norm,1Fam,1.5Fin,1988,1988,BrkFace,786.0,0,0,4,4,WD ,229000,35,16,16,0,2183,1002.0,2.5
RL,9938,Lvl,Gtl,SawyerW,Norm,1Fam,2Story,1993,1994,BrkFace,574.0,156,90,4,3,WD ,236000,35,12,12,3,1949,900.0,2.5
RL,12633,HLS,Gtl,Timber,PosA,1Fam,1Story,2006,2007,BrkFace,932.0,160,36,5,3,New,392000,50,15,15,4,1824,912.0,2.0
RM,6876,Lvl,Gtl,IDOTRR,Norm,1Fam,2Story,1927,1950,None,316.0,0,0,3,4,WD ,149000,30,9,6,0,1930,621.0,2.0
FV,3951,Lvl,Gtl,Somerst,Norm,TwnhsE,2Story,1998,1999,None,846.0,0,90,5,2,WD ,345000,50,15,12,3,2393,128.0,2.5
RM,9856,Lvl,Gtl,OldTown,Norm,1Fam,2Story,1900,2005,None,624.0,0,72,3,5,WD ,169000,40,16,6,0,2014,358.0,2.0
RL,17808,Lvl,Gtl,Edwards,Feedr,1Fam,1Story,1946,1950,None,336.0,0,0,3,2,WD ,109900,20,9,9,0,1242,242.0,1.0
RL,9627,Lvl,Mod,Mitchel,Norm,1Fam,2Story,1993,1994,BrkFace,650.0,190,48,3,3,WD ,188000,35,9,12,3,2000,877.0,2.5
RM,6000,Lvl,Gtl,BrkSide,Norm,1Fam,1.5Fin,1939,1950,None,280.0,45,0,3,4,WD ,132500,36,6,9,4,1412,390.0,1.0
RL,9757,Low,Mod,CollgCr,Norm,1Fam,1Story,1994,1994,None,440.0,66,0,3,3,WD ,143000,35,12,9,0,990,872.5,1.0
RL,9280,Lvl,Gtl,Edwards,Norm,1Fam,1Story,1951,1951,None,256.0,0,0,3,4,WD ,125000,30,9,6,0,1342,949.5,1.0
RL,14780,HLS,Mod,NridgHt,Norm,1Fam,1Story,2005,2005,BrkFace,1085.0,354,56,5,2,WD ,415000,45,15,15,4,1868,1686.5,2.0
RM,7740,Lvl,Gtl,OldTown,Norm,1Fam,2Story,1910,1950,None,528.0,0,0,3,3,WD ,125500,28,9,6,0,1363,311.0,1.0
RL,9600,Lvl,Gtl,NAmes,Feedr,1Fam,1Story,1958,1988,BrkCmn,338.0,289,0,3,3,WD ,139000,36,9,9,4,1632,620.0,2.0
RL,13478,Lvl,Gtl,NridgHt,Norm,1Fam,2Story,2008,2008,Stone,842.0,382,274,5,3,ConLI,451950,50,15,15,4,2296,1530.0,2.5
RL,10926,Lvl,Gtl,Edwards,Norm,Duplex,1Story,1959,1959,BrkFace,0.0,0,0,3,6,WD ,119900,25,9,9,0,1678,839.0,2.0
RL,6853,Lvl,Gtl,Timber,Norm,1Fam,1Story,2001,2002,BrkFace,471.0,192,25,4,2,WD ,220000,40,12,15,0,1296,1136.0,2.0
RL,10667,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1971,1971,BrkFace,525.0,0,44,3,3,WD ,167300,36,9,9,4,1587,1212.5,2.0
RL,8212,Lvl,Gtl,Edwards,Norm,1Fam,1.5Fin,1941,1950,None,256.0,84,0,3,3,WD ,122000,30,9,9,8,1298,673.0,1.0
RM,9100,Lvl,Gtl,Sawyer,RRAe,Duplex,1Story,1963,1963,BrkFace,504.0,0,0,3,6,ConLI,125000,25,9,9,0,1728,1530.0,2.0
RM,6000,Lvl,Gtl,OldTown,Norm,1Fam,1Story,1957,1957,None,288.0,0,0,3,3,WD ,112500,30,9,9,0,928,618.0,1.0
RL,9316,Lvl,Gtl,CollgCr,Norm,1Fam,2Story,2005,2006,None,578.0,164,111,4,3,WD ,191000,35,12,12,0,1795,439.5,2.5
RL,9464,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1958,1958,BrkFace,288.0,0,0,3,3,WD ,136000,42,12,9,0,1080,825.0,1.0
RL,10400,Lvl,Gtl,CollgCr,Norm,1Fam,2Story,1998,1998,None,546.0,198,36,4,3,WD ,197900,35,9,12,0,1779,433.0,2.5
RM,5310,Lvl,Gtl,OldTown,Feedr,1Fam,1.5Fin,1910,2003,None,255.0,394,0,4,2,WD ,117000,48,12,6,0,1635,242.5,1.0
RL,7406,Lvl,Gtl,CollgCr,Norm,1Fam,1Story,2006,2006,Stone,632.0,105,54,4,2,New,194000,35,12,12,0,1220,941.5,2.0
FV,4538,Lvl,Gtl,Somerst,Norm,TwnhsE,1Story,2001,2001,BrkFace,545.0,277,45,4,1,WD ,285000,45,12,15,3,1310,1157.0,1.5
RL,10106,Lvl,Gtl,Edwards,Norm,2fmCon,1.5Fin,1940,1999,None,0.0,140,0,3,4,WD ,127500,35,12,9,0,1355,407.0,2.0
RL,13346,Lvl,Gtl,NoRidge,Norm,1Fam,2Story,1992,2000,None,590.0,0,40,4,4,WD ,268000,35,12,12,3,2295,911.5,2.5
RM,9639,Lvl,Gtl,OldTown,Artery,1Fam,2Story,1900,1950,None,342.0,0,0,3,4,WD ,137000,32,9,9,0,1798,537.5,2.5
RL,15387,Lvl,Gtl,NWAmes,Norm,1Fam,1Story,1967,1967,None,578.0,0,62,4,4,WD ,215000,49,9,9,4,1620,964.5,2.0
RL,10050,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1955,1955,None,336.0,0,0,3,3,WD ,129500,25,9,9,0,1216,752.0,1.0
RM,6240,Lvl,Gtl,BrkSide,Norm,1Fam,1.5Fin,1936,1950,None,240.0,200,114,3,3,WD ,115000,20,9,12,0,1344,448.0,1.0
RL,7506,Lvl,Gtl,OldTown,Norm,1Fam,1.5Fin,1925,1950,None,288.0,84,0,3,3,WD ,114000,40,12,9,0,1159,373.5,1.0
RH,8900,Lvl,Gtl,SawyerW,Norm,1Fam,1Story,1966,1966,None,384.0,0,42,3,2,WD ,107000,16,9,9,0,1056,1056.0,1.0
RL,8480,Lvl,Gtl,NAmes,Norm,1Fam,1.5Fin,1947,1950,None,336.0,158,0,3,2,COD,118500,25,9,9,0,1216,637.0,1.0
RM,6000,Lvl,Gtl,BrkSide,Norm,1Fam,1.5Fin,1929,1950,None,208.0,0,0,3,3,WD ,120000,42,9,9,4,1158,431.0,1.0
RL,8847,Lvl,Gtl,Somerst,Norm,1Fam,1Story,2005,2005,BrkFace,484.0,146,40,4,3,WD ,260000,40,12,12,0,1538,1153.5,2.0
RL,8050,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1959,1959,BrkFace,308.0,0,0,3,3,WD ,136000,25,9,9,0,1143,918.5,1.0
RL,8294,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1971,1971,None,480.0,0,0,3,3,WD ,123000,20,9,9,0,872,429.0,1.0
RM,7920,Lvl,Gtl,IDOTRR,Artery,1Fam,1.5Fin,1920,1950,None,0.0,0,144,2,3,WD ,89500,42,6,9,0,1406,159.5,1.0
RL,18494,Lvl,Gtl,Gilbert,Norm,1Fam,1Story,2005,2005,None,430.0,36,23,4,3,WD ,199500,30,12,12,0,1324,662.0,2.0
RL,7162,Lvl,Gtl,Sawyer,Norm,1Fam,1Story,1966,1966,BrkCmn,408.0,0,0,3,3,WD ,109900,35,9,9,0,904,438.0,1.0
RL,10918,Lvl,Gtl,Crawfor,Norm,1Fam,2Story,1926,2004,None,282.0,0,0,4,3,WD ,234000,63,12,12,8,2080,638.0,1.5
RM,4435,Lvl,Gtl,CollgCr,Norm,TwnhsE,1Story,2004,2004,BrkFace,420.0,140,0,4,1,WD ,155900,30,12,12,4,848,755.0,1.0
RL,11250,Lvl,Gtl,ClearCr,Norm,1Fam,1.5Fin,1957,1989,None,304.0,120,0,3,5,WD ,161500,20,9,9,6,1788,552.0,1.0
RL,14375,Lvl,Gtl,Timber,Norm,1Fam,SLvl,1958,1958,BrkFace,525.0,0,118,4,3,COD,137500,36,9,9,4,1344,288.0,1.0
RM,9045,Lvl,Gtl,OldTown,Norm,2fmCon,2Story,1910,1950,None,0.0,0,18,2,4,WD ,76500,15,6,9,0,2256,420.0,2.0
RL,10029,Lvl,Gtl,ClearCr,Norm,1Fam,2Story,1988,1989,BrkFace,521.0,0,228,3,4,WD ,211000,30,12,12,3,2060,991.0,2.5
RH,4060,Lvl,Gtl,NAmes,Norm,TwnhsE,1Story,1998,1999,None,511.0,144,68,4,2,COD,181000,30,12,12,0,1337,835.5,2.0
RL,9020,Lvl,Gtl,NAmes,Norm,1Fam,SLvl,1966,1966,BrkFace,490.0,0,129,3,3,WD ,174900,42,9,9,0,1165,450.0,1.5
RL,11777,Lvl,Gtl,Sawyer,Norm,1Fam,SLvl,1966,1966,BrkFace,564.0,160,68,3,3,WD ,164500,30,9,9,4,1320,470.5,1.0
RL,10171,Lvl,Gtl,NridgHt,Norm,1Fam,1Story,2004,2004,BrkFace,532.0,0,0,4,3,WD ,214000,35,12,12,0,1535,759.5,2.0
RL,10400,Lvl,Gtl,NWAmes,Norm,1Fam,2Story,1980,1988,BrkFace,489.0,28,73,3,3,WD ,185000,42,9,12,3,2044,369.0,2.5
RM,6240,Lvl,Gtl,BrkSide,Norm,1Fam,1.5Fin,1929,1950,None,336.0,0,365,3,2,WD ,123000,28,9,9,0,1136,392.0,1.0
RL,12150,Bnk,Gtl,Mitchel,Norm,1Fam,SFoyer,1979,1979,None,486.0,84,0,4,2,WD ,183500,36,9,12,1,1299,1001.0,2.0
FV,2645,Lvl,Gtl,Somerst,Norm,Twnhs,2Story,1999,2000,BrkFace,492.0,206,0,4,2,WD ,174000,40,12,12,0,1441,388.0,2.5
RL,22692,Lvl,Gtl,Edwards,Norm,1Fam,1Story,1953,1953,None,649.0,0,64,3,3,COD,130000,25,9,9,3,1630,830.0,2.0
RM,9600,Lvl,Gtl,OldTown,Norm,1Fam,2Story,1925,1990,None,546.0,0,0,5,3,WD ,178000,49,9,12,4,1641,372.0,1.5
RL,13830,Lvl,Gtl,Gilbert,Norm,1Fam,2Story,1997,1998,None,482.0,212,34,3,3,WD ,189900,25,9,12,3,1629,859.5,2.5
RM,4435,Lvl,Gtl,CollgCr,Norm,TwnhsE,1Story,2003,2004,BrkFace,420.0,140,0,4,1,WD ,144000,30,12,12,0,848,766.5,1.0
RM,5890,Lvl,Gtl,IDOTRR,Norm,1Fam,1Story,1930,2007,None,432.0,0,0,3,2,WD ,120500,48,16,9,0,816,677.0,1.0
RL,10859,Lvl,Gtl,CollgCr,Norm,1Fam,1Story,1994,1995,None,672.0,392,64,3,3,WD ,145000,25,9,12,0,1097,548.5,1.5
RL,5330,Lvl,Gtl,StoneBr,Norm,TwnhsE,1Story,2000,2000,None,499.0,96,48,5,2,WD ,251000,40,12,12,0,1652,1345.0,2.0
RL,10778,Lvl,Gtl,Sawyer,Norm,Duplex,1Story,1968,1968,None,0.0,0,0,3,4,WD ,136500,20,9,9,0,1768,884.0,2.0
RL,6845,Lvl,Gtl,Edwards,Norm,Duplex,1Story,1955,1955,BrkCmn,0.0,0,0,3,2,WD ,82500,20,9,0,0,1152,0.0,2.0
I (all),21780,Lvl,Gtl,IDOTRR,Norm,1Fam,1Story,1910,1950,None,280.0,119,24,3,1,ConLD,57625,8,4,0,0,810,0.0,1.0
RL,10307,Lvl,Gtl,NridgHt,Norm,TwnhsE,1Story,2007,2008,Stone,484.0,192,26,4,2,WD ,212500,35,12,12,4,1358,1113.0,2.0
RM,4500,Lvl,Gtl,Mitchel,Norm,Twnhs,1Story,1998,1998,BrkFace,402.0,0,125,3,2,WD ,164000,30,9,15,0,1216,1056.5,2.0
RM,9060,Lvl,Gtl,IDOTRR,Norm,1Fam,1.5Fin,1957,1957,BrkFace,384.0,0,21,4,4,WD ,139000,30,9,9,0,1638,483.5,2.0
FV,2160,Lvl,Gtl,Somerst,Norm,Twnhs,2Story,1999,2000,BrkFace,462.0,0,48,4,2,WD ,160000,35,12,12,0,1252,555.0,2.5
RL,7669,Lvl,Gtl,Mitchel,Norm,1Fam,SFoyer,1992,1993,None,698.0,100,32,3,2,WD ,149000,30,9,12,2,883,718.0,1.0
RL,9858,Lvl,Gtl,Mitchel,Norm,1Fam,1Story,1968,1968,None,288.0,33,0,3,3,WD ,130000,30,9,9,0,874,687.0,1.0
RM,10300,Bnk,Gtl,OldTown,RRAn,1Fam,2Story,1921,1950,None,480.0,12,11,3,3,WD ,140000,42,9,9,0,1710,288.0,2.0
FV,8125,Lvl,Gtl,Somerst,Norm,1Fam,1Story,2008,2009,BrkFace,517.0,0,175,4,3,New,264500,40,12,12,4,1836,918.0,2.0
RL,14850,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1957,1957,None,299.0,268,0,3,2,WD ,141000,25,9,9,3,1092,993.5,1.0
FV,4274,Lvl,Gtl,Somerst,Norm,TwnhsE,1Story,2006,2007,None,569.0,0,116,4,1,New,199900,35,12,12,0,1241,1173.5,1.5
RL,9650,Lvl,Gtl,NWAmes,Norm,1Fam,1Story,1977,1977,BrkFace,630.0,0,16,3,2,WD ,167900,30,9,12,3,1334,1018.0,2.0
RL,14585,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1960,1987,BrkFace,572.0,216,110,4,3,WD ,181900,36,9,9,8,1429,759.5,1.0
FV,9000,Lvl,Gtl,Somerst,Norm,1Fam,1Story,2008,2008,Stone,750.0,144,168,4,3,WD ,262500,40,12,12,0,1566,1322.0,2.0
RL,13774,Lvl,Gtl,NWAmes,Norm,1Fam,2Story,1977,1992,BrkFace,520.0,321,72,4,4,WD ,230000,49,12,12,6,2288,670.0,2.0
FV,5119,Lvl,Gtl,Somerst,Norm,TwnhsE,1Story,1999,2000,BrkFace,506.0,97,65,4,2,CWD,328900,45,12,15,3,1709,1468.0,2.0
RL,9254,Lvl,Gtl,NridgHt,Norm,1Fam,1Story,2005,2005,BrkFace,554.0,168,27,4,3,WD ,232698,40,12,12,0,1721,920.0,2.0
RL,10324,Lvl,Gtl,CollgCr,Norm,1Fam,1Story,2008,2008,BrkFace,810.0,168,92,4,2,WD ,221800,40,12,12,0,1254,1063.0,2.0
RL,8375,Lvl,Gtl,Sawyer,Norm,1Fam,1.5Fin,1941,1973,None,627.0,0,0,4,2,WD ,152400,35,9,9,0,1350,456.0,1.5
RL,9750,Lvl,Gtl,CollgCr,Norm,1Fam,1Story,2000,2001,BrkFace,451.0,74,234,4,3,WD ,213000,35,12,12,3,1630,815.0,2.0
RL,7632,Lvl,Gtl,SawyerW,Norm,1Fam,2Story,2005,2005,BrkFace,449.0,100,77,4,3,WD ,184900,35,12,12,0,1585,392.0,2.5
RL,15750,Lvl,Gtl,Crawfor,Norm,2fmCon,1Story,1953,1953,BrkFace,375.0,0,0,3,2,WD ,157000,25,9,9,8,1336,1003.0,1.0
RL,9240,Lvl,Gtl,Sawyer,Norm,1Fam,1Story,1962,2002,None,576.0,161,0,3,2,WD ,144000,30,9,9,3,1211,738.0,1.0
RL,10400,Lvl,Gtl,NWAmes,Norm,1Fam,1Story,1979,1999,BrkFace,478.0,240,141,3,2,WD ,192350,30,9,12,3,1353,1081.0,2.0
RL,8800,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1966,1966,BrkFace,440.0,0,0,3,3,CWD,163500,42,9,9,3,1200,914.0,2.0
RL,11839,Lvl,Gtl,SawyerW,Norm,1Fam,2Story,1990,1990,BrkFace,514.0,192,121,4,4,WD ,262280,35,9,12,5,2329,1280.0,2.5
RL,9135,Lvl,Gtl,CollgCr,Norm,1Fam,1Story,2002,2003,BrkFace,532.0,192,74,4,3,WD ,214000,35,12,12,0,1536,1173.0,2.0
RL,14115,Lvl,Gtl,Crawfor,Norm,1Fam,1Story,1956,2004,None,470.0,0,0,5,2,WD ,230000,42,9,9,4,1811,411.0,1.0
RL,14154,Lvl,Gtl,NridgHt,Norm,1Fam,2Story,2006,2006,BrkFace,947.0,192,62,4,3,New,280000,35,12,20,4,2172,531.5,2.5
C (all),6565,Lvl,Gtl,IDOTRR,Norm,1Fam,1Story,1957,1980,None,720.0,0,444,3,3,WD ,140000,24,9,9,0,1073,1020.0,1.0
RL,7700,Lvl,Gtl,NAmes,PosN,1Fam,2Story,1966,1966,BrkFace,442.0,0,124,3,4,WD ,155000,30,9,9,3,1839,378.0,1.5
C (all),4761,Lvl,Gtl,IDOTRR,Norm,1Fam,1.5Unf,1918,1950,None,0.0,0,0,2,2,ConLD,64500,9,4,6,0,1020,510.0,1.0
RL,12361,Lvl,Gtl,SawyerW,Norm,1Fam,2Story,1993,1993,BrkFace,1017.0,450,92,4,3,WD ,218000,42,16,12,4,1802,903.0,2.5
RL,9720,Lvl,Gtl,CollgCr,Norm,1Fam,SLvl,1977,1977,BrkFace,576.0,0,0,3,3,WD ,160000,35,9,15,2,1009,875.0,2.0
FV,8640,Lvl,Gtl,Somerst,Norm,1Fam,1Story,2007,2007,None,598.0,0,141,4,3,New,208900,40,12,12,0,1338,681.0,2.0
RL,47007,Lvl,Gtl,Edwards,Norm,1Fam,1Story,1959,1996,None,624.0,0,372,5,5,WD ,284700,35,9,0,8,3820,0.0,3.5
FV,3180,Lvl,Gtl,Somerst,Norm,TwnhsE,2Story,2007,2007,None,540.0,0,102,4,2,WD ,146000,35,12,12,0,1392,344.5,2.0
RL,14963,Lvl,Gtl,Veenker,Norm,TwnhsE,1Story,1996,1996,None,500.0,120,30,5,1,WD ,245500,40,12,12,8,1288,1023.0,1.5
RM,5000,Bnk,Mod,BrkSide,Norm,1Fam,1.5Unf,1926,1950,None,160.0,0,0,3,3,WD ,113000,42,9,9,0,1013,496.0,1.0
RL,16870,Lvl,Gtl,NridgHt,Norm,1Fam,1Story,2004,2005,BrkFace,932.0,99,82,4,3,WD ,296000,40,12,15,8,1782,1656.5,2.0
RL,14157,HLS,Gtl,StoneBr,Norm,1Fam,1Story,2005,2006,Stone,676.0,178,51,4,3,WD ,377426,45,12,15,4,1922,1585.5,2.0
RL,12456,Lvl,Gtl,NridgHt,Norm,1Fam,1Story,2006,2007,Stone,786.0,216,48,5,3,WD ,337500,50,15,15,4,1718,1436.0,2.0
RL,14836,HLS,Mod,NridgHt,Norm,1Fam,1Story,2004,2005,Stone,949.0,226,235,5,2,WD ,552000,50,15,15,5,2492,2319.0,2.5
RL,6956,Lvl,Gtl,Edwards,Norm,1Fam,1.5Fin,1948,1950,None,265.0,0,0,3,3,WD ,97900,28,12,6,0,936,312.0,1.0
FV,7862,Lvl,Gtl,Somerst,Norm,1Fam,1Story,2009,2009,None,676.0,0,102,4,2,New,208300,30,12,12,0,1218,622.5,2.0
RL,11050,Lvl,Gtl,Mitchel,Norm,1Fam,2Story,1996,1997,None,816.0,318,32,4,3,WD ,213000,35,9,12,3,1820,455.0,2.5
RL,8924,Lvl,Gtl,CollgCr,Norm,1Fam,2Story,1998,1999,None,527.0,120,155,4,3,WD ,188000,35,9,12,0,1724,440.0,2.5
RL,9610,Lvl,Gtl,NAmes,Feedr,1Fam,1Story,1958,1958,BrkFace,488.0,80,0,3,3,WD ,162000,36,9,9,3,1336,662.0,1.5
RM,13710,Lvl,Gtl,IDOTRR,Norm,1Fam,1.5Fin,1950,1950,None,282.0,289,0,3,4,WD ,152000,25,9,9,0,1558,665.0,1.5
FV,12552,Lvl,Gtl,Somerst,Norm,1Fam,2Story,2004,2005,None,678.0,0,136,4,3,WD ,254900,35,12,12,4,1947,606.5,2.5
RL,14565,Lvl,Gtl,SawyerW,Norm,1Fam,2Story,1994,1995,BrkFace,483.0,144,74,4,3,WD ,189000,35,12,12,0,1657,684.5,2.5
RL,18559,Lvl,Gtl,NWAmes,Norm,1Fam,1Story,1978,1978,BrkFace,550.0,200,0,4,3,WD ,235000,35,16,12,4,2064,1534.0,2.0
RL,10880,Lvl,Gtl,Edwards,Norm,2fmCon,1Story,1950,1950,None,240.0,0,48,3,3,ConLD,125000,25,9,9,0,1164,1102.0,1.0
RL,2280,Lvl,Gtl,NPkVill,Norm,Twnhs,1Story,1975,1975,None,308.0,0,30,3,2,WD ,120000,42,9,12,0,836,418.0,1.0
A (agr),31250,Lvl,Gtl,Mitchel,Artery,1Fam,1Story,1951,1951,None,270.0,0,0,3,3,WD ,81500,3,6,0,0,1600,0.0,1.5
RL,11841,Lvl,Gtl,Edwards,Norm,Duplex,SFoyer,1990,1990,BrkFace,0.0,0,32,3,3,WD ,118500,30,12,12,0,816,816.0,1.0
FV,9187,Lvl,Gtl,Somerst,Norm,1Fam,1Story,2009,2009,Stone,478.0,195,130,5,2,New,370878,45,15,15,4,1766,1443.5,2.5
RH,6270,HLS,Gtl,Crawfor,Norm,Duplex,2Story,1949,1950,None,871.0,0,0,3,4,WD ,145000,30,9,9,0,2002,642.5,2.0
RL,15660,Lvl,Gtl,Crawfor,Norm,1Fam,1.5Fin,1939,2006,BrkFace,431.0,0,119,4,3,WD ,311500,63,16,9,6,1954,569.5,1.5
RL,3087,Lvl,Gtl,Blmngtn,Norm,TwnhsE,1Story,2006,2006,BrkFace,437.0,100,16,4,2,New,210250,35,12,12,4,1364,836.5,2.0
RL,13450,Lvl,Gtl,CollgCr,Norm,1Fam,2Story,2002,2002,None,492.0,146,91,4,3,WD ,200000,35,12,12,0,1861,808.0,2.5
RL,10125,Lvl,Gtl,Mitchel,Norm,Duplex,1.5Fin,1977,1977,None,539.0,0,0,4,4,COD,126000,25,9,0,0,1734,0.0,2.0
RL,8146,Lvl,Gtl,OldTown,Norm,1Fam,2Story,1900,2003,None,281.0,0,0,3,2,WD ,114000,32,16,6,0,1039,202.5,1.0
RM,9600,Lvl,Gtl,OldTown,Norm,1Fam,2Story,1910,1950,None,720.0,0,0,4,3,WD ,87500,16,16,6,0,1510,338.5,2.0
RL,12328,Lvl,Gtl,StoneBr,Norm,1Fam,2Story,2005,2005,Stone,729.0,120,32,5,4,WD ,349265,40,12,15,4,2541,1067.5,3.5
RL,10141,Lvl,Gtl,SawyerW,Norm,1Fam,1Story,2004,2004,BrkFace,845.0,210,36,4,3,WD ,203000,40,12,12,0,1512,627.0,2.0
RL,8529,Lvl,Gtl,SawyerW,Norm,1Fam,1Story,2001,2001,None,527.0,290,39,4,3,WD ,189000,35,12,12,3,1434,737.0,2.0
FV,8127,Lvl,Gtl,Somerst,Norm,1Fam,2Story,2003,2003,None,628.0,0,45,4,3,WD ,209000,35,12,12,0,1653,611.0,2.5
RM,8400,Lvl,Gtl,OldTown,Artery,1Fam,2Story,1900,1950,None,357.0,0,235,5,3,WD ,160000,42,9,8,0,2007,458.5,2.0
RL,10751,Lvl,Gtl,Sawyer,RRAe,1Fam,1Story,1974,1974,BrkFace,431.0,136,47,3,2,WD ,129000,25,9,6,0,1037,912.0,1.0
RL,10010,Lvl,Mod,Mitchel,Norm,1Fam,1Story,1974,1975,None,418.0,240,38,3,2,WD ,170000,25,9,12,3,1389,1168.5,1.0
RL,4280,Lvl,Gtl,Crawfor,Norm,1Fam,1Story,1913,2002,None,352.0,0,0,4,2,WD ,90350,30,9,9,4,694,402.5,1.0
RL,9600,Lvl,Gtl,Edwards,Artery,1Fam,1.5Fin,1924,1950,None,0.0,0,8,3,2,WD ,79000,30,9,9,0,1096,286.0,1.0
RL,9800,Lvl,Gtl,CollgCr,Norm,1Fam,1Story,1972,1972,None,552.0,256,0,3,3,WD ,149900,35,9,9,0,894,894.0,1.0
RL,7560,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1971,1971,None,576.0,0,0,3,3,WD ,123000,25,9,12,0,864,185.0,1.0
RM,9600,Lvl,Gtl,OldTown,Norm,1Fam,2Story,1900,1950,None,779.0,0,0,3,4,WD ,87000,8,9,6,0,1774,547.5,2.0
RL,9880,Lvl,Gtl,Mitchel,Norm,1Fam,SLvl,1977,1977,None,358.0,203,0,3,3,WD ,171000,36,9,9,1,1118,809.0,1.0
RL,9600,Lvl,Gtl,NAmes,Norm,1Fam,1.5Fin,1950,1950,None,288.0,0,0,3,3,WD ,119000,30,9,9,0,1252,656.0,1.0
RL,7931,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1959,1959,None,672.0,0,0,3,3,WD ,132500,25,9,9,0,1148,1148.0,1.0
RM,5100,Lvl,Gtl,OldTown,Norm,1Fam,2Story,1925,1996,None,228.0,192,63,4,3,WD ,161000,56,12,9,4,1666,294.0,1.0
RL,9720,Lvl,Gtl,CollgCr,Norm,1Fam,2Story,2001,2002,BrkFace,725.0,168,116,4,3,WD ,274000,45,12,12,3,1947,1275.5,2.5
RL,8521,Lvl,Gtl,Sawyer,Feedr,1Fam,1Story,1967,1967,None,336.0,0,0,3,3,WD ,125000,25,9,9,2,912,877.0,1.0
RL,8741,Lvl,Gtl,Edwards,Norm,Duplex,1Story,1946,1950,None,0.0,118,0,3,4,WD ,98500,30,9,9,0,1195,597.5,2.0
